project,status,case_group,type,industry,founded_or_launched,revenue,funding,exit_or_scale,initial_product,core_user,value_per_use,use_frequency,value_frequency,pain_intensity,substitute,value_clarity,natural_distribution,market_growth,market_ceiling,endogenous_demand_growth,continuous_value,data_lock_in,switching_cost,delivery_cost,gross_margin,acquisition_method,acquisition_scalability,ltv_pattern,business_model_fit,wedge,expansion_path,vc_fit,failure_reason,pre_product_verifiable_variables,post_product_variables,three_to_seven_day_experiment,strong_signal,classification_notes,source_paths,source_urls
Figma,Success,VC/Acquisition attempt,Design collaboration SaaS,Design tools,2012,Revenue present; exact value Unknown,VC-backed; exact Unknown,Large design collaboration platform,Browser multiplayer design tool,Product designers and teams,High: collaborative design work,Daily,Daily team workflow value,High for distributed design teams,"Sketch files, Adobe, file handoff",Medium/high after demo,Collaboration/sharing links,Growing product/design teams,Large,More collaborators increase value,High,"High: design files, comments, components",High,Software scalable; real-time infra cost,High/medium,"PLG, sharing links, community files",Highly scalable,Seat-based subscription,Team collaboration maps to seat pricing,Browser design editor,"Design system, FigJam, dev handoff",High,,"collaboration pain, sharing behavior, team workflow","lock-in, team expansion",Prototype collaboration workflow for one design team,Team uses same file for real work and invites collaborators,Some fields not directly in local corpus; numeric Unknown,Unknown,Unknown
Airtable,Success,VC/Scale,Productivity / no-code database,No-code workflow,2012,Revenue present; exact value Unknown,VC-backed; exact Unknown,Large no-code/workflow company,Spreadsheet-database hybrid,"Ops teams, creators, SMBs",Medium/high: manages structured workflows,Daily/weekly,Recurring workflow/data value,High when spreadsheet pain is strong,"Excel, Google Sheets, custom DB, Notion",High,Templates/community,Growing no-code/workflow market,Large,More processes/data increase demand,High,"High: records, automations, integrations",High,Software scalable,High/medium,"Templates, PLG, SEO",Scalable,Freemium + subscription,Workflow data maps to recurring seats,Flexible table/database,Workflow apps/platform,High,,"spreadsheet pain, repeated process, template demand","retention, automation lock-in",Post niche workflow template and sell setup/import service,Users import real data and pay for workspace/setup,Some fields not directly in local corpus; numeric Unknown,Unknown,Unknown
DoorDash,Success,VC/Scale,Marketplace,Local delivery,2013,Revenue present; exact value Unknown,VC-backed/public; exact Unknown,Large delivery marketplace,Restaurant delivery in local area,Consumers/restaurants needing delivery,Medium/high: convenience/revenue,Weekly/daily for heavy users,Repeated transaction value,High in dense urban/suburban contexts,"Pickup, restaurant delivery, phone orders",High,Local word-of-mouth and marketplace supply,Food delivery market growth,Large,More restaurants/users improve selection,Medium/high,Medium: preferences/order history,Medium,High operational delivery cost,Low/medium marketplace margins,"Local sales, referrals, promos",Scalable but city-by-city operations,Transaction/commission,Transaction model matches episodic value,One local delivery niche,Multi-city logistics marketplace,High,,"local demand, supply availability, willingness to pay delivery fee","unit economics, retention, supply density",Manual concierge delivery for one restaurant cluster,Repeat orders and merchants accept commission,Fact: local DoorDash source; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\DoorDash_YC_story__b0e1b1f50e.txt,https://www.ycombinator.com/companies/doordash
Airbnb,Success,VC/Scale,Marketplace,Travel / lodging,2008,Revenue present; exact value Unknown,VC-backed/public; exact Unknown,Large lodging marketplace,Airbed/event lodging marketplace,Travelers and hosts,High during constrained events: lodging availability/cost,Low/episodic per user,High-value episodic transaction,High in peak event/city constraints,"Hotels, Craigslist, friends",Medium/high,Host listings and guest sharing,Travel market large,Very large,More hosts/guests improve marketplace liquidity,Medium: episodic but repeated travel,Medium: reviews/reputation,Medium/high via reviews/network,Marketplace ops/trust/support cost,Medium/high platform margin,"Manual host onboarding, events, PR",Scalable with market liquidity but city-by-city,Transaction/commission,Transaction fits episodic high-value use,Event lodging,Global travel marketplace,High,,"supply/demand pain in constrained event, willingness to pay","trust, repeat travel, liquidity",Manually match guests/hosts for a specific event,Hosts list and guests pay/book,Fact: local Airbnb sources; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Airbnb_surprising_path_Wired__d29393ba7f.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\反例失败\Airbnb_design_thinking_First_Round__6ce28f6f0b.txt,https://www.wired.com/2017/02/airbnbs-surprising-path-to-y-combinator/；https://review.firstround.com/how-design-thinking-transformed-airbnb-from-failing-startup-to-billion-dollar-business/
Instagram,Success,VC/Scale,Consumer social,Photo sharing,2010,Revenue pre-exit Unknown,VC-backed; exact Unknown,Acquired / large consumer network,Burbn simplified to photo sharing,Mobile social users,Low/medium individual utility; high social/status value,Daily/high frequency,Frequent social feedback value,Medium/high emotional/social pain,"Camera roll, Facebook, Flickr, other apps",High,Sharing/social graph,Mobile/social growth,Very large,More users/content increases value,High habit/social loop,High: social graph/content/history,High,Software infra cost; monetization later,"High after ads scale, Unknown early",App store/social sharing,Potentially viral,Ads eventually; early model Unknown,High-frequency attention later maps to ads,Mobile photo sharing,Social network / ads platform,High,,"behavior concentration, share rate, repeat posting","retention, network effects",Launch tiny sharing tool to niche community,Users post repeatedly and invite/follow others,Fact: local Instagram source; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Instagram_Burbn_pivot__046e26986d.txt,https://en.wikipedia.org/wiki/Instagram
Twitter,Success,VC/Scale,Consumer social / platform,Microblogging,2006,Revenue eventual; early Unknown,VC-backed/public; exact Unknown,Large social platform,Short status updates,Broad public conversation users,Low per post but high network/info value,Daily/high frequency,High-frequency information/social value,Medium/high for news/community users,"SMS, blogs, forums, IM",High,Use is public distribution,Mobile/social/news growth,Very large,More users/topics increase value,High habit/news loop,"High: graph, followers, archives",High,Software infra/moderation cost,Ads gross margin after scale,Network/social sharing,Potentially viral but hard cold start,Ads/platform,Attention/network maps to ads,Status updates,Public conversation platform,High,Odeo original direction failed,"public posting behavior, repeat usage, network pull","monetization, moderation, retention",Test a micro-community broadcast loop,Users post repeatedly and recruit readers/contributors,Fact: local Twitter source; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Twitter_Odeo_pivot__8222cbca91.txt,https://en.wikipedia.org/wiki/Twitter
Substack,Success,VC/Revenue,Creator platform,Newsletter publishing/payments,2017,Revenue present; exact value Unknown,VC-backed; exact Unknown,Large creator monetization platform,Paid newsletter tooling,Writers and readers,High for writers earning subscription revenue,Weekly/daily,Recurring content/payment value,High for writers with audience,"Mailchimp, Patreon, blogs, custom payments",High,Writers bring/share audience,Creator economy/newsletter growth,Large but creator-dependent,More writers/readers expand network/content,High for active newsletters,Medium: subscribers/archive/payments,Medium/high,Software scalable; payment/support costs,High/medium with payment fees,"Creator distribution, referrals, content",Scalable but depends on creator acquisition,Revenue share,Revenue share matches creator monetization,Paid newsletter,Publishing and subscription network,High/medium,,"creator pain, existing audience, willingness to pay/revenue share","writer retention, subscriber churn",Offer manual paid newsletter setup to niche writers,Writer imports audience and charges subscribers,Some fields not directly in local corpus; numeric Unknown,Unknown,Unknown
Twitch,Success,VC/Acquisition,Consumer platform,Live streaming,2011,Revenue present; exact value Unknown,VC-backed; exact Unknown,Acquired / large live platform,Justin.tv gaming focus,Streamers and viewers,Medium/high entertainment/community value,Daily/high frequency,High-frequency entertainment and social value,High among streamers/fans,"YouTube, Justin.tv, forums",High for gaming livestream,Social/community network,Gaming/video growth,Large,More streamers/viewers improve value,High habit/community,"High: followers, channels, chat communities",High,Infra/video bandwidth cost high,Medium/high at scale,"Community, streamer pull, platform discovery",Scalable with network effects but infra cost,Ads/subs/tips,Attention and creator monetization fit ads/subs,Gaming livestream niche,Live entertainment platform,High,,"niche community pull, creator supply, repeat viewing","monetization, moderation, infra cost",Run live stream community pilot in one niche,Creators stream repeatedly and viewers return/chat/pay,Fact: local Twitch source; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Twitch_startup_story_Justin.tv__c51747254e.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Twitch_YC_company__45209770eb.txt,https://en.wikipedia.org/wiki/Justin.tv；https://www.ycombinator.com/companies/twitch
Superhuman,Success,VC/Revenue,Productivity SaaS,Email client,2014,Revenue present; exact value Unknown,VC-backed; exact Unknown,Premium productivity SaaS,Fast email client,Power email users,Medium/high: saves time for high-volume email,Daily,Daily productivity value,High among email-heavy users,"Gmail, Outlook, plugins",Medium/high,Referral/status among power users,Email use stable/large,Medium/large but premium niche,More professional communication increases pain,High daily workflow,Medium: shortcuts/preferences/workflow,Medium,Software/support onboarding cost,High/medium,"Invite/referral, concierge onboarding",Scalable within high-value niche,Premium subscription,High-frequency high-value productivity supports premium subscription,Fast email for power users,Productivity workflow,High/medium,,"pain intensity, willingness to pay premium, user segment",retention and daily habit,Concierge demo to email-heavy users with paid trial,Users would be very disappointed without it and pay premium,Fact: local Superhuman PMF source; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\数据报告\Superhuman_PMF_engine__ffd9ac400c.txt,https://review.firstround.com/how-superhuman-built-an-engine-to-find-product-market-fit/
Oculus,Success,VC/Acquisition,Hardware,VR hardware,2012,Revenue/shipments Unknown in local table,Crowdfunding + VC; exact Unknown,Acquired by Meta,VR developer headset,Gamers/developers/VR enthusiasts,High for early adopters; entertainment/immersion,Weekly/episodic,High-value but hardware-dependent,High for enthusiasts,"DIY VR, monitors, dev kits",Medium via demo/video,Community and press,VR market expected growth,"Large potential, uncertain timing",More content/ecosystem increases demand,Medium/high if content exists,Medium: content library/platform,Medium/high platform lock-in,High hardware delivery cost,Hardware gross margin Unknown; BOM risk,Kickstarter/community/press,Scalable only with manufacturing/content ecosystem,Hardware sale + platform ecosystem,Preorder validates demand but not unit economics,Developer VR headset,Consumer VR/platform,High,,"preorder demand, community interest, developer use case","manufacturing, content ecosystem, retention",Prototype video + preorder/deposit from VR enthusiasts,Users pay before full production and developers build for it,Fact: local Kickstarter source; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\cases_success__Oculus_Kickstarter_case__15.txt,https://www.kickstarter.com/projects/1523379957/oculus-rift-step-into-the-game
Pebble,Mixed: early success then shutdown/acquired,Hardware/VC,Hardware,Smartwatch,2012,Revenue/shipments Unknown,Crowdfunding + VC; exact Unknown,Acquired; product line ended,E-paper smartwatch,Early smartphone accessory users,Medium: notifications on wrist,Daily,Frequent notification value,High for early adopters,"Phone, watches, other wearables",High,Kickstarter/community,Wearables market growth but platform competition,Large but competitive,More apps/ecosystem increase demand,Medium/high,Medium: apps/settings,Medium,High hardware/support/manufacturing cost,Hardware margin Unknown,Kickstarter/community,Initial scalable demand; long-term challenged by competition,Hardware sale,Daily utility fits hardware but replacement cycles matter,Smartwatch for early adopters,Apps/wearable ecosystem,Medium/high but capital intensive,Competition/platform pressure; long-term scaling challenge,"preorder demand, daily use premise","competition, ecosystem, manufacturing, retention",Crowdfunding/deposit + survey daily use cases,Paid preorder plus evidence of repeated daily use,Fact: local Pebble sources; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\反例失败\Pebble_Watch_Wikipedia__16d83f3377.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\研究\cases_success__Kickstarter_Pebble_case__25.txt,https://en.wikipedia.org/wiki/Pebble_(watch)；https://www.kickstarter.com/projects/getpebble/pebble-e-paper-watch-for-iphone-and-android
Arduino,Success,Bootstrap/Community,Maker hardware,Open-source electronics,2005,Revenue present through boards/ecosystem; exact Unknown,Unknown / not classic VC-led,Large maker/developer ecosystem,Accessible microcontroller board,"Students, makers, educators, prototypers",Medium/high: enables projects and learning,Project-based; weekly/monthly depending user,Value occurs when building/learning/prototyping,High for makers needing accessible electronics,"Raw microcontrollers, expensive dev boards, custom electronics",High,Community projects/tutorials,Maker/open hardware growth,Medium/large ecosystem,More projects/libraries increase value,Medium/high,High: libraries/community/tutorials,Medium,Hardware manufacturing + support/content,Hardware margin Unknown,Education/community/content/resellers,Scalable via ecosystem and distribution,Hardware sales/ecosystem,Project value maps to board sales and ecosystem,Accessible board,"Boards, modules, education, ecosystem",Medium; stronger as business than hypergrowth VC,,"community pain, project adoption, willingness to buy boards","ecosystem retention, supply chain",Sell/dev kit to local maker niche + tutorial,Makers complete projects and buy/recommend boards,Fact: local Arduino source; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Arduino_History__4231ddc8b3.txt,https://www.arduino.cc/en/about
Adafruit,Success,Bootstrap,Maker hardware / commerce,Electronics education/e-commerce,2005,Revenue present; exact Unknown,Bootstrap/non-VC,Large maker electronics business,DIY electronics kits/tutorials/store,"Makers, educators, hobbyists",Medium: learning plus components for projects,Project-based/repeat purchase,Value occurs with each project,High for makers needing guidance and parts,"Generic distributors, forums, raw datasheets",High,Tutorials/community/projects,Maker education growth,Medium/large niche,More projects/tutorials increase demand,Medium/high repeat projects,Medium: account/history/tutorial trust,Medium,Inventory/logistics/content cost,Commerce gross margin Unknown,"Content, community, search",Scalable within niche with inventory operations,E-commerce/product sales,Project-based purchases fit commerce,Kits/tutorials,Broader maker catalog/community,Low/medium VC; strong bootstrap,,"content-to-purchase loop, repeat project demand","inventory, support, repeat purchase",Publish tutorial + kit landing page for niche project,Users buy parts/kit and share builds,Fact: local Adafruit source; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\例子案例\Adafruit_About__33619f95c4.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\方法论资料\Adafruit_Learning_System__e918e433fd.txt,https://www.adafruit.com/about；https://learn.adafruit.com/
Prusa Research,Success,Bootstrap/Community,Hardware,3D printing,2012,Revenue present; exact Unknown,Unknown / not classic VC-led,Large 3D printer manufacturer/community,Open-source 3D printer,"Makers, prosumers, print farms",High: creates physical objects/prototypes,Weekly/daily for heavy users,Value per print/project,High among makers/prototypers,"DIY printers, expensive printers, service bureaus",High,Open-source/community/print sharing,3D printing market growth,Medium/large,More materials/models/community increase value,High for repeat printing,"Medium/high: profiles, community, parts",Medium,Hardware manufacturing/support cost,Hardware margin Unknown,"Community, reputation, quality",Scalable with manufacturing discipline,Hardware + parts/materials,Repeat use supports materials/upgrade sales,Reliable open printer,"Printers, materials, farm/software ecosystem",Medium; strong bootstrap fit,,"maker pain, willingness to buy kit/printer, community adoption","manufacturing, support, quality",Pre-sell kit or prototype to maker community,Paid orders plus repeated prints/community recommendations,Fact: local Prusa source; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\研究\Prusa_Research_History__e77f2c46b2.txt,https://www.prusa3d.com/page/about-us_77/
Quibi,Failure,VC Failure,Consumer content,Mobile video streaming,2020,Revenue insufficient/Unknown,Large VC funding; exact Unknown,Shut down,Short-form mobile premium video,Mobile video consumers,Low/medium: entertainment episodes,Daily/weekly intended,Entertainment value uncertain,Unclear; not obviously painful,"YouTube, TikTok, Netflix, social video",Medium: concept understandable,Low organic sharing relative to social video,Video market large but crowded,Large but competitive,"Content consumption grows, but not necessarily this format",Weak/uncertain,Low,Low,Very high content production cost,Low/uncertain due content spend,Paid marketing/brand,Costly and not naturally scalable,Subscription,Subscription mismatched if content habit not strong,Premium short mobile video,Content platform,"High VC fit on paper, weak demand evidence","Weak retention/usage fit, crowded substitutes, high content cost","value clarity, willingness to subscribe, repeat use","retention, content economics",Paid smoke test for a narrow content format before production,Users pay/return for multiple episodes without celebrity/marketing push,Fact: local Quibi sources; inference: structure,E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\反例失败\Quibi_Wikipedia__b6ab1c151d.txt；E:\AIHardware\假设验证研究\hypothesis_validation_crawl\text\反例失败\Quibi_shutdown_Verge__336d0421cd.txt,https://en.wikipedia.org/wiki/Quibi；https://www.theverge.com/2020/10/21/21527197/quibi-streaming-service-mobile-shutting-down-end-katzenberg
