cluster_id,cluster_name,target_user,problem,why_now,record_count,signal_count,signal_ids,unique_authors,unique_domains,positive_signal_score,anti_pattern_score,opportunity_score,funnel_stage,top_behavior_counts,anti_pattern_counts,opportunity_hypothesis,next_experiment
C06,Insurance claims and underwriting operations,insurers / brokers / finance ops,"claims, underwriting, and policy workflows are document-heavy and slow",AI document reasoning can reduce operational backlog,3769,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",3046,464,89.59,8.69,80.9,Investigate with paid/customer discovery,payment:1535; workflow:931; growth:618; budget:548; migration:405,no_budget:509; low_value_attention:320; too_custom:119; solved_by_incumbent:51; hard_to_switch:12,"我们观察到insurers / brokers / finance ops正在因为claims, underwriting, and policy workflows are document-heavy and slow而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI document reasoning can reduce operational backlog。",Sell a claims-document triage pilot; success is sample claims + paid evaluation
C05,Healthcare admin/EHR scheduling and coordination,medical practices / healthcare operators,"healthcare teams spend labor on scheduling, EHR tasks, outreach, and coordination",AI voice/computer-use agents can operate across old systems,3619,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",3010,562,90.51,9.87,80.6,Investigate with paid/customer discovery,payment:1446; workflow:839; repetition:692; budget:677; growth:661,no_budget:617; low_value_attention:398; too_custom:179; solved_by_incumbent:64; hard_to_switch:11,"我们观察到medical practices / healthcare operators正在因为healthcare teams spend labor on scheduling, EHR tasks, outreach, and coordination而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI voice/computer-use agents can operate across old systems。",Paid concierge on one admin workflow with de-identified samples; success is pilot from practice manager
C12,Procurement/vendor/RFP workflow,ops/procurement teams / B2B buyers,"vendor search, quotes, RFPs, procurement approvals are slow and document-heavy",AI search/extraction can compress vendor workflows,3190,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",2703,815,89.33,9.36,80.0,Investigate with paid/customer discovery,budget:2395; payment:1137; workflow:1004; self_build:421; migration:356,no_budget:435; low_value_attention:295; too_custom:213; hard_to_switch:77; solved_by_incumbent:57,"我们观察到ops/procurement teams / B2B buyers正在因为vendor search, quotes, RFPs, procurement approvals are slow and document-heavy而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI search/extraction can compress vendor workflows。",Offer to source vendors for one purchase; success is real RFQ + paid sourcing fee
C03,Document/PDF/data extraction automation,ops teams / analysts / industrial and finance users,"valuable data is trapped in PDFs, documents, emails, spreadsheets",LLM/OCR quality and cost make extraction easier,9337,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",7489,2078,96.71,17.4,79.3,Investigate with paid/customer discovery,payment:2889; workflow:2196; self_build:2135; workaround:1635; repetition:1624,no_budget:1534; low_value_attention:1161; too_custom:689; solved_by_incumbent:276; hard_to_switch:25,"我们观察到ops teams / analysts / industrial and finance users正在因为valuable data is trapped in PDFs, documents, emails, spreadsheets而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：LLM/OCR quality and cost make extraction easier。",Manually extract 20 documents and charge per batch; success is paid repeat batch
C14,Manufacturing/industrial QA and supply chain,manufacturers / industrial ops,"manufacturing, QA, supply chain, and industrial workflows have high error cost",AI vision/agents lower inspection and planning cost,3341,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",2757,634,88.05,9.28,78.8,Investigate with paid/customer discovery,payment:1298; workflow:1227; growth:635; workaround:431; budget:424,no_budget:424; low_value_attention:367; too_custom:220; solved_by_incumbent:60; hard_to_switch:9,"我们观察到manufacturers / industrial ops正在因为manufacturing, QA, supply chain, and industrial workflows have high error cost而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI vision/agents lower inspection and planning cost。",Sell one QA/reporting/supply-chain cleanup sprint; success is sample data + paid pilot
C04,Manual reporting and spreadsheet workflow automation,operators / analysts / managers,"recurring reports require copy-paste, reconciliation, and manual checks",automation and LLM tools reduce repetitive analysis cost,6231,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",5145,1727,92.77,15.1,77.7,Investigate with paid/customer discovery,payment:1658; self_build:1323; workflow:1271; repetition:1203; workaround:984,no_budget:987; low_value_attention:588; too_custom:464; solved_by_incumbent:211; hard_to_switch:13,"我们观察到operators / analysts / managers正在因为recurring reports require copy-paste, reconciliation, and manual checks而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：automation and LLM tools reduce repetitive analysis cost。",Cold email with a done-for-you report automation offer; success is shared spreadsheet + payment
C20,"Meeting transcription, translation, and follow-up",remote teams / sales / support / global users,"meetings create notes, translation, action items, and follow-up work",speech models and LLMs make meeting artifacts cheaper,3593,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",3223,830,89.58,11.9,77.7,Investigate with paid/customer discovery,self_build:1035; payment:1024; workflow:901; repetition:748; workaround:560,no_budget:671; low_value_attention:529; too_custom:276; solved_by_incumbent:93; hard_to_switch:12,"我们观察到remote teams / sales / support / global users正在因为meetings create notes, translation, action items, and follow-up work而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：speech models and LLMs make meeting artifacts cheaper。",Offer done-for-you meeting notes/follow-up for one week; success is paid repeat usage
C24,Privacy/data governance/synthetic data,data/security/legal teams,"data use creates privacy, governance, synthetic data, and access problems",AI increases sensitive data usage and governance pressure,2966,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",2640,776,86.74,9.55,77.2,Investigate with paid/customer discovery,payment:869; self_build:787; workflow:784; workaround:468; migration:422,no_budget:630; low_value_attention:291; too_custom:215; solved_by_incumbent:59; hard_to_switch:15,"我们观察到data/security/legal teams正在因为data use creates privacy, governance, synthetic data, and access problems而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI increases sensitive data usage and governance pressure。",Offer data-risk audit on one workflow; success is policy owner engagement + payment
C13,Hardware/IoT/device configuration and fleet ops,hardware teams / IT / IoT operators,"device setup, firmware, configuration, and fleet management are manual",more connected devices create operational complexity,6741,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",5442,969,93.92,16.79,77.1,Investigate with paid/customer discovery,payment:2663; self_build:1463; workflow:1430; workaround:1028; migration:999,no_budget:1137; low_value_attention:892; too_custom:678; solved_by_incumbent:183; hard_to_switch:44,"我们观察到hardware teams / IT / IoT operators正在因为device setup, firmware, configuration, and fleet management are manual而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：more connected devices create operational complexity。",Paid device configuration audit/automation script; success is real device list + payment
C16,SaaS migration/export/import pain,ops/admins switching tools,users want alternatives but data migration and workflow switching are painful,tool fragmentation and price increases drive switching,7351,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",6200,1965,92.49,15.72,76.8,Investigate with paid/customer discovery,migration:3824; workaround:3113; payment:1624; self_build:1425; workflow:1218,no_budget:1135; low_value_attention:618; too_custom:489; solved_by_incumbent:157; hard_to_switch:95,我们观察到ops/admins switching tools正在因为users want alternatives but data migration and workflow switching are painful而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：tool fragmentation and price increases drive switching。,Sell a migration service from one named tool; success is exported data + paid migration
C22,Observability/incident monitoring and debugging,engineering/SRE teams,"incidents, logs, monitoring, and debugging create urgent workflow pain",system complexity and AI code volume increase debugging needs,4224,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",3655,1003,89.34,12.57,76.8,Investigate with paid/customer discovery,workflow:1467; payment:1254; self_build:1053; repetition:700; workaround:648,no_budget:660; low_value_attention:422; too_custom:393; solved_by_incumbent:112; hard_to_switch:14,"我们观察到engineering/SRE teams正在因为incidents, logs, monitoring, and debugging create urgent workflow pain而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：system complexity and AI code volume increase debugging needs。",Analyze one incident/log sample; success is access to logs + paid remediation sprint
C28,Scheduling/calendar/coordination automation,professionals / teams / service businesses,coordination and scheduling require back-and-forth work,AI assistants and integrations can reduce coordination work,2490,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",2204,447,85.59,10.01,75.6,Investigate with paid/customer discovery,payment:995; workflow:727; repetition:640; self_build:570; budget:433,no_budget:542; low_value_attention:349; too_custom:218; solved_by_incumbent:71; hard_to_switch:11,我们观察到professionals / teams / service businesses正在因为coordination and scheduling require back-and-forth work而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI assistants and integrations can reduce coordination work。,Manual scheduling assistant for one week; success is paid continuation
C02,AI agent tool-call safety and permissions,AI agent builders / platform teams,"agents need safe tool permissions, auditability, and human approval",AI agents are moving from chat to actions,6379,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",5368,1828,90.68,15.21,75.5,Investigate with paid/customer discovery,self_build:1880; workflow:1620; payment:1485; repetition:929; workaround:883,no_budget:876; low_value_attention:634; too_custom:483; solved_by_incumbent:160; hard_to_switch:18,"我们观察到AI agent builders / platform teams正在因为agents need safe tool permissions, auditability, and human approval而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI agents are moving from chat to actions。",Offer a security/permission review of one agent workflow; success is real workflow logs
C23,AI evaluation/model monitoring/prompt management,AI product teams,"AI apps require evals, prompt/version management, and regression monitoring",AI systems need productized QA and reliability workflows,3871,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",3288,1118,87.43,12.1,75.3,Investigate with paid/customer discovery,self_build:1187; workflow:980; payment:927; repetition:574; workaround:540,no_budget:592; low_value_attention:464; too_custom:346; solved_by_incumbent:80; hard_to_switch:13,"我们观察到AI product teams正在因为AI apps require evals, prompt/version management, and regression monitoring而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI systems need productized QA and reliability workflows。",Run an eval setup sprint for one AI workflow; success is paid eval baseline
C15,Browser extension / cross-app workflow bridge,knowledge workers / ops / developers,"users bridge web tools with browser extensions, scraping, and copy-paste",browser automation and AI computer-use make cross-app work cheaper,4296,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",3736,1214,82.53,10.49,72.0,Investigate with paid/customer discovery,self_build:3567; workaround:1042; payment:537; workflow:529; repetition:442,no_budget:546; low_value_attention:383; too_custom:239; solved_by_incumbent:85; hard_to_switch:3,"我们观察到knowledge workers / ops / developers正在因为users bridge web tools with browser extensions, scraping, and copy-paste而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：browser automation and AI computer-use make cross-app work cheaper。",Ship no-code/manual browser workflow service; success is installed extension or paid setup
C18,Templates/plugins as workflow proto-products,operators / creators / no-code users,templates and plugins reveal repeated workflow needs before full products,no-code ecosystems make semi-products easy to distribute,3000,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",2645,713,81.92,10.49,71.4,Keep in watchlist / needs more commercial evidence,recommendation:1792; self_build:711; payment:559; workflow:559; workaround:395,no_budget:490; low_value_attention:355; too_custom:260; solved_by_incumbent:89; hard_to_switch:8,我们观察到operators / creators / no-code users正在因为templates and plugins reveal repeated workflow needs before full products而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：no-code ecosystems make semi-products easy to distribute。,Sell a niche template + setup service; success is paid template plus setup upsell
C17,Open-source alternative to expensive SaaS,developers / SMBs / infra teams,users seek cheaper or controllable alternatives to expensive SaaS,cloud/SaaS pricing and AI infra costs push teams to alternatives,2914,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",2567,771,80.67,9.84,70.8,Keep in watchlist / needs more commercial evidence,migration:1661; payment:972; budget:603; self_build:521; workflow:484,no_budget:522; too_custom:252; low_value_attention:217; solved_by_incumbent:62; hard_to_switch:62,我们观察到developers / SMBs / infra teams正在因为users seek cheaper or controllable alternatives to expensive SaaS而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：cloud/SaaS pricing and AI infra costs push teams to alternatives。,Offer hosted/support plan for OSS alternative; success is paid support or managed hosting
C10,Customer support / call center / email automation,support teams / service businesses,support and email queues create high-volume repetitive labor,LLMs make first-pass support and triage cheaper,1401,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",1320,285,74.54,4.96,69.6,Keep in watchlist / needs more commercial evidence,payment:615; workflow:421; self_build:330; repetition:275; migration:194,no_budget:254; low_value_attention:163; too_custom:118; solved_by_incumbent:24; hard_to_switch:4,我们观察到support teams / service businesses正在因为support and email queues create high-volume repetitive labor而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：LLMs make first-pass support and triage cheaper。,Manually automate 50 tickets with QA; success is paid trial and deflection metric
C29,Local/self-hosted AI and deployment operations,developers / regulated teams,"teams need local, self-hosted, controllable AI deployment and ops","AI adoption collides with privacy, cost, and control needs",1013,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",924,201,61.11,4.09,57.0,Low priority / likely noisy,payment:469; self_build:200; workflow:200; migration:136; workaround:123,no_budget:181; low_value_attention:132; too_custom:119; solved_by_incumbent:27; hard_to_switch:6,"我们观察到developers / regulated teams正在因为teams need local, self-hosted, controllable AI deployment and ops而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI adoption collides with privacy, cost, and control needs。",Paid deployment assessment; success is environment access + pilot budget
C08,Cloud/API/model cost optimization,developers / AI infra teams / startups,"API, cloud, and model costs become unexpectedly expensive",AI/usage-based infrastructure makes costs volatile,1046,14,"01,02,03,04,05,06,07,08,09,10,11,12,13,14",910,160,56.77,2.1,54.7,Low priority / likely noisy,payment:814; workflow:143; migration:102; repetition:88; self_build:83,no_budget:112; low_value_attention:74; too_custom:38; solved_by_incumbent:13; hard_to_switch:4,"我们观察到developers / AI infra teams / startups正在因为API, cloud, and model costs become unexpectedly expensive而采取搜索替代、自己造工具、workaround、付费或迁移动作。当前机会可能来自：AI/usage-based infrastructure makes costs volatile。",Analyze one bill/log sample and quote savings; success is bill access + success-fee interest
